,,DATE,TIME
1,class:,1404-07-21,11:00-14:00
2,class:,1404-07-28,11:00-14:00
3,class:,1404-08-05,11:00-14:00
4,class:,1404-08-12,11:00-14:00
5,class:,1404-08-19,11:00-14:00
6,class:,1404-08-26,11:00-14:00
7,class:,1404-09-10,11:00-14:00
8,EXAM:,1404-10-21,13:30-15:30
